"Date","High price","Low price","Closing price"
"2001-12-28",,,"1000.00"
"2002-01-02",,,"983.52"
"2002-01-03",,,"1024.30"
"2002-01-04",,,"1025.50"
"2002-01-07",,,"1020.14"
"2002-01-08",,,"983.53"
"2002-01-09",,,"978.67"
"2002-01-10",,,"965.62"
"2002-01-11",,,"979.44"
"2002-01-14",,,"935.95"
"2002-01-15",,,"935.32"
"2002-01-16",,,"922.77"
"2002-01-17",,,"938.95"
"2002-01-18",,,"933.91"
"2002-01-21",,,"913.43"
"2002-01-22",,,"914.37"
"2002-01-23",,,"919.27"
"2002-01-24",,,"953.97"
"2002-01-25",,,"940.97"
"2002-01-28",,,"945.10"
"2002-01-29",,,"932.93"
"2002-01-30",,,"914.33"
"2002-01-31",,,"945.95"
"2002-02-01",,,"953.83"
"2002-02-04",,,"946.03"
"2002-02-05",,,"923.51"
"2002-02-06",,,"911.37"
"2002-02-07",,,"920.64"
"2002-02-08",,,"914.11"
"2002-02-11",,,"932.33"
"2002-02-12",,,"936.35"
"2002-02-13",,,"941.83"
"2002-02-14",,,"946.92"
"2002-02-15",,,"930.58"
"2002-02-18",,,"916.97"
"2002-02-19",,,"896.07"
"2002-02-20",,,"888.18"
"2002-02-21",,,"900.87"
"2002-02-22",,,"885.03"
"2002-02-25",,,"904.51"
"2002-02-26",,,"915.90"
"2002-02-27",,,"939.13"
"2002-02-28",,,"936.62"
"2002-03-01",,,"938.55"
"2002-03-04",,,"981.90"
"2002-03-05",,,"978.68"
"2002-03-06",,,"978.21"
"2002-03-07",,,"991.99"
"2002-03-08",,,"1002.41"
"2002-03-11",,,"988.29"
"2002-03-12",,,"960.47"
"2002-03-13",,,"959.82"
"2002-03-14",,,"949.92"
"2002-03-15",,,"950.29"
"2002-03-18",,,"963.61"
"2002-03-19",,,"952.57"
"2002-03-20",,,"936.88"
"2002-03-21",,,"936.32"
"2002-03-22",,,"953.84"
"2002-03-25",,,"948.61"
"2002-03-26",,,"938.90"
"2002-03-27",,,"942.92"
"2002-03-28",,,"945.37"
"2002-04-02",,,"932.80"
"2002-04-03",,,"927.31"
"2002-04-04",,,"917.84"
"2002-04-05",,,"924.44"
"2002-04-08",,,"903.53"
"2002-04-09",,,"908.43"
"2002-04-10",,,"895.86"
"2002-04-11",,,"876.17"
"2002-04-12",,,"883.64"
"2002-04-15",,,"890.71"
"2002-04-16",,,"911.33"
"2002-04-17",,,"921.00"
"2002-04-18",,,"876.04"
"2002-04-19",,,"862.03"
"2002-04-22",,,"828.48"
"2002-04-23",,,"822.21"
"2002-04-24",,,"795.17"
"2002-04-25",,,"794.69"
"2002-04-26",,,"805.17"
"2002-04-29",,,"793.89"
"2002-04-30",,,"799.57"
"2002-05-01",,,"800.04"
"2002-05-02",,,"808.22"
"2002-05-03",,,"781.64"
"2002-05-06",,,"775.76"
"2002-05-07",,,"778.21"
"2002-05-08",,,"804.45"
"2002-05-10",,,"786.22"
"2002-05-13",,,"789.55"
"2002-05-14",,,"807.45"
"2002-05-15",,,"810.01"
"2002-05-16",,,"798.70"
"2002-05-17",,,"800.86"
"2002-05-20",,,"798.74"
"2002-05-21",,,"793.26"
"2002-05-22",,,"768.92"
"2002-05-23",,,"766.43"
"2002-05-24",,,"765.16"
"2002-05-27",,,"761.39"
"2002-05-28",,,"755.54"
"2002-05-29",,,"744.82"
"2002-05-30",,,"733.44"
"2002-05-31",,,"744.29"
"2002-06-03",,,"736.75"
"2002-06-04",,,"720.76"
"2002-06-05",,,"728.59"
"2002-06-06",,,"722.63"
"2002-06-07",,,"697.33"
"2002-06-10",,,"705.21"
"2002-06-11",,,"713.72"
"2002-06-12",,,"695.36"
"2002-06-13",,,"694.24"
"2002-06-14",,,"685.80"
"2002-06-17",,,"707.95"
"2002-06-18",,,"709.20"
"2002-06-19",,,"689.44"
"2002-06-20",,,"671.38"
"2002-06-21",,,"670.91"
"2002-06-24",,,"645.89"
"2002-06-25",,,"668.75"
"2002-06-26",,,"662.22"
"2002-06-27",,,"681.88"
"2002-06-28",,,"702.16"
"2002-07-01",,,"700.51"
"2002-07-02",,,"685.23"
"2002-07-03",,,"668.05"
"2002-07-04",,,"682.25"
"2002-07-05",,,"708.46"
"2002-07-08",,,"705.43"
"2002-07-09",,,"693.73"
"2002-07-10",,,"677.28"
"2002-07-11",,,"651.53"
"2002-07-12",,,"655.63"
"2002-07-15",,,"635.49"
"2002-07-16",,,"629.90"
"2002-07-17",,,"654.72"
"2002-07-18",,,"647.60"
"2002-07-19",,,"621.55"
"2002-07-22",,,"593.65"
"2002-07-23",,,"567.08"
"2002-07-24",,,"539.25"
"2002-07-25",,,"565.68"
"2002-07-26",,,"557.32"
"2002-07-29",,,"602.15"
"2002-07-30",,,"607.67"
"2002-07-31",,,"610.89"
"2002-08-01",,,"596.19"
"2002-08-02",,,"580.51"
"2002-08-05",,,"555.74"
"2002-08-06",,,"572.44"
"2002-08-07",,,"574.77"
"2002-08-08",,,"586.08"
"2002-08-09",,,"594.59"
"2002-08-12",,,"595.94"
"2002-08-13",,,"597.56"
"2002-08-14",,,"583.28"
"2002-08-15",,,"602.12"
"2002-08-16",,,"602.58"
"2002-08-19",,,"617.38"
"2002-08-20",,,"619.07"
"2002-08-21",,,"634.69"
"2002-08-22",,,"654.74"
"2002-08-23",,,"639.76"
"2002-08-26",,,"631.14"
"2002-08-27",,,"635.26"
"2002-08-28",,,"626.31"
"2002-08-29",,,"619.51"
"2002-08-30",,,"618.66"
"2002-09-02",,,"612.24"
"2002-09-03",,,"585.32"
"2002-09-04",,,"585.07"
"2002-09-05",,,"589.60"
"2002-09-06",,,"612.15"
"2002-09-09",,,"608.04"
"2002-09-10",,,"613.78"
"2002-09-11",,,"637.94"
"2002-09-12",,,"616.99"
"2002-09-13",,,"608.92"
"2002-09-16",,,"605.02"
"2002-09-17",,,"603.18"
"2002-09-18",,,"576.31"
"2002-09-19",,,"571.01"
"2002-09-20",,,"570.89"
"2002-09-23",,,"552.58"
"2002-09-24",,,"542.29"
"2002-09-25",,,"550.90"
"2002-09-26",,,"578.28"
"2002-09-27",,,"579.72"
"2002-09-30",,,"543.82"
"2002-10-01",,,"552.18"
"2002-10-02",,,"570.36"
"2002-10-03",,,"559.35"
